District,2006 07,2007 08,2008 09,2009 10,2010 11,2011 12,2012 13,2013 14,2014 15,2015 16,2016 17
Simsbury School District,1549401,1689711,1867203,2125929,1933399,2221386,2149426,2612903,2395008,2080739,2433189
Somers School District,598325,774182,932837,968499,1003828,1017420,1002171,1023086,863782,795934,938176
South Windsor School District,2404326,2323006,2967177,3032298,3504640,3650156,4457981,4348105,4652194,4088264,4312421
Southington School District,2874058,3449430,3423759,3662335,4049524,4625484,4604688,4836314,4661259,4332157,4903713
Sprague School District,1042863,1027174,439246,367901,443672,538944,488098,371479,424490,522769,540165
Stafford School District,1084201,1414714,1436562,1471603,1356596,1259246,1087607,907423,1039152,1107555,1210290
Stamford School District,6234933,8068720,9494312,10127823,10268537,11030332,11022016,12260569,14735654,15092740,16624232
Sterling School District,488185,771209,665476,634000,628418,770189,776565,1068566,1089746,1054164,1283435
Stonington School District,1066305,1134848,1446270,1520759,1780984,2091011,2157279,1994168,2086905,2420167,2474153
Stratford School District,4207121,4667329,4719297,5007154,5058657,5347987,5554944,5309579,5415325,5408167,6590904
Suffield School District,1060718,1300212,1126728,1746958,1790577,1759944,1697244,1561559,1183677,1602094,2072688
Thomaston School District,434435,558255,730526,929245,879000,710047,963009,1009301,963871,978844,798581
Thompson School District,1034248,1043097,1440849,1510285,1332558,1476253,1469740,1497481,1777651,1662838,1444830
Tolland School District,1615932,1597621,1910539,1940442,2336204,2679838,2931589,2919553,3143553,3263931,3513049
Torrington School District,3806603,4899298,5482304,5974637,5878192,5291051,5221169,5815215,6471463,7372117,7495128
Trumbull School District,1854071,2025409,2917775,2734924,2770640,3287700,3494181,3105576,3063213,3397787,3322759
Union School District,53564,59784,58143,57448,74379,49849,43813,96086,38332,59598,45592
Vernon School District,2823451,3048724,2317592,2571087,2709313,2359496,2888514,2650538,2441188,2557419,2610751
Voluntown School District,739816,589799,615593,523224,638260,571499,535257,568082,683372,657640,843136
Wallingford School District,3573626,4064543,4643693,4643577,5170505,5103464,4643076,4974629,5097421,5045427,5783245
Waterbury School District,6331076,6341616,6977446,6577700,6134032,6382181,5856362,6016327,6156782,7313584,7666189
Waterford School District,1814424,1961138,1946690,2098473,2202788,1986685,1837461,2162073,2470298,2145036,2204888
Watertown School District,714020,902624,968776,789991,1274862,788711,1025468,739590,1373077,1874442,1773173
West Hartford School District,3094132,3379976,3907588,4641120,4909784,5563358,6090033,5727557,6432152,7062128,7305270
West Haven School District,4734569,5701658,4949658,6051058,6068704,6821892,6989691,7579307,8955117,9679068,9924915
Westbrook School District,188582,200143,140215,228198,258746,397185,498573,692155,477737,329366,546115
Weston School District,1148044,1450435,1345713,1637294,1567725,1290835,1279746,1913969,2198357,2306518,2557771
Westport School District,2422855,2394714,2593228,3007751,3266366,3208016,2764437,2775425,2707351,2636537,3235185
Wethersfield School District,2081090,2026342,2477791,2762061,3254816,3259892,3714184,4131558,4731405,5263555,5567863
Willington School District,0,101644,96589,200639,301278,228466,67276,123044,178341,280984,284185
Wilton School District,1397669,1976506,2309564,1970594,2200688,2201604,2482078,3616982,3989650,3214439,4726419
Winchester School District,1850576,1937156,2371441,2259217,3300946,1478538,1648598,2830555,2670730,3061307,3087657
Windham School District,2113256,2148012,2151815,2285251,3860016,4071161,4024010,3371530,3902458,3777276,3998698
Windsor Locks School District,855916,954273,892299,982498,1054924,1519385,1452742,1268633,888546,830294,734089
Windsor School District,2406987,3145114,3707370,4136290,3526513,3691733,4373070,4648888,4891984,4733729,5023547
Wolcott School District,847352,732770,562800,777929,826318,732149,826697,768903,953510,1025035,1068895
Woodbridge School District,509275,501727,181246,218798,215498,287712,268383,215148,275617,491625,663550
Woodstock School District,626860,696917,589739,727160,811294,645644,595904,990989,805543,1282505,1584546
All Districts (Statewide),271829374,299903535,321097756,338791798,362539120,368023269,379765849,405219609,439937796,462100428,488874886
